01/05/2026;1001;2001;ABC123;8.5;Cooperativa Regional
02/05/2026;1002;2002;DEF456;10.0;Armazém Central
03/05/2026;1003;2003;GHI789;12.5;Exportadora Sul Café
04/05/2026;1004;2004;JKL012;6.8;Cooperativa Regional
05/05/2026;1005;2005;MNO345;14.0;Indústria Café Forte
06/05/2026;1006;2006;PQR678;9.2;Armazém Central
07/05/2026;1007;2007;STU901;15.3;Exportadora Sul Café
08/05/2026;1008;2008;VWX234;11.7;Cooperativa Regional
09/05/2026;1009;2009;YZA567;7.9;Indústria Café Forte
10/05/2026;1010;2010;BCD890;18.0;Porto Seco Minas
11/05/2026;1011;2011;EFG123;9.5;Armazém Central
12/05/2026;1012;2012;HIJ456;13.4;Exportadora Sul Café
13/05/2026;1013;2013;KLM789;8.0;Cooperativa Regional
14/05/2026;1014;2014;NOP012;5.6;Indústria Café Forte
15/05/2026;1015;2015;QRS345;16.2;Porto Seco Minas
21052026;5555555;8888888;88888;888.0;888
252555;1008;2008;nop012;100.0;pouso alegre
22525252;1007;2004;qrs345;200.0;Rio Janeiro
